,Company,Role,C,D,E
0,Fragomen,Infrastructure Program Manager,,,
1,Eliassen Group ·,Program Manager,,,
2,Onward Search,Technical Program Manager [72430],,,
3,Harvey Nash USA,Program Project Manager,,,
4,Russell Tobin,Program Manager,,,
5,Tredence Inc.,Technical Program Manager,,,
6,Judge Group,Technical Program Manager I,,,
7,Infosys,Program Manager with Litify,,,
8,PanasonicWELL,"Senior Technical Program Manager (AI, Data and Infrastructure)",,,
9,AMD,Senior Program Manager,,,
10,Program Manager,: Systems Integration Solutions · ,,,
11,Project Manager (Life Sciences/Biotech Industry),: Biotage,,,
12,AMD Senior Program Manager,,,,
13,Square,"Technical Program Manager, Sales & Account Management",,,
14,Visa,Technical Program Manager - Cybersecurity PMO," (unfortunately, I used my PM, not TPM resume for this one)",,
15,Workiva,R&D Program Manager,,,
16,Stand 8,Senior Program Manager,,,
17,ClifyX,: ,Data Program Manager,,
18,Rapdev,Technical Project Manager,,,
19,Brightcove,Staff Analytics Engineer," (longshot, but it will hopefully get me into their system)",,
20,Holy Grail,Program Manager,,,
21,DroisysProgram Manager Ownership Operations,,,,
22,Amiseq,Global Program Manager,,,
23,Flywire,"Program Manager, People Team",,,
24,Riot Games,"Senior Technical Program Manager - Riot Data Products, Data as a Service",,,
25,Intel,"Program Manager, M&A",,,
26,Abbott Quality Professional Technical Writer (31066027),,,,
27,Workday,Sr. Program Manager,,,
28,Vivo,Technical Project Manager,,,
29,STAND 8 Technology Services,·Project Manager,,,
30,Synergis,Technical Program Manager,,,
31,Huntington National Bank,Senior Data Strategy Project Manager,,,
32,Wex,Sr Technical Project Manager,,,
33,Symetra,Senior Technical Program Manager,,,
34,Citius,Senior Program Manager,,,
35,,Infrastructure Program Manager (Remote), at ,Codeforce 360.,
36,Program Manager, at ,AgreeYa Solutions.,,
37,Cybercoders,Software Project Manager,,,
38,Elastic,TPM,,,
39,Upwork,Senior Program Manager - Accounting,,,
40,Harness.io,Technical Program Manager Customer,,,
41,Nextdeavor,Technical Program Manager,,,
42,Red Cross,Disaster Program Manager," ( half assed application, it needed a cover letter)",,
43,ASML,Senior Technical writer,,,
44,Upwork,Senior Program Manager - Accounting,,,
45,Optomi Professional Services,Program Manager,,,
46,Crystal Equation Corporation,Technical Program Manager,,,
47,Averity,Technical Program Manager,,,
48,WaferWire Cloud Technologies,Technical Program Manager,,,
49,Jobot,Technical writer,,,
50,Circle,Technical Writer,,,
51,Clayco,Technical Program Manager,,,
52,Central Coast Alliance for Health Quality Improvement Program Advisor IV,,,,
53,Beacon Hill Technologies,Remote Technical Program Manager (Content Security),,,
54,Talent Burst”,TPM,,,
55,Russell Tobin,Technical Program Manager," Almost immediate call from recruiter, this is with Adobe. W2 with Russell Tobin. Candis.",,
56,Lighthouse,Digital Forensics Project Manager,,,
57,Phasium,Project Manager,,,
58,Apex Systems,Project Manager: (retail Industry),,,
59,Planet,TPM, (Kelli Lidwell works here),,
60,Fortanix,"Director, Technical Writing",,,
61,Cavnue,Technical Program Manager - Software / Machine Learning,,,
62,Booz Allen Hamilton,Integrated Project Lead,,,
63,Fingerprint for Success Technical Program Manager,,,,
64,ProFocus Technolocy,Technical Program Manager,,,
65,STAND 8 Technology Services,Program Manager,,,
66,Pegasys Solutions Project Manager,,,,
67,Yubico,Technical Program Manager,,,
68,Chainlink,Program Manager - Performance and Development,,,
69,A10,Operations Program Manager (Contract),,,
70,Thermo Fisher,Program Manager,,,
71,PDS Tech, Program Manager,,,
72,Microsoft,Senior Program Manager,,,
73,York Solutions,SAAS Technical Program Manager,,,
74,kForce Job Title Program Manager Reference Code 2085195-TVT,,,,
75,Nvidia Technical Writer - NVIDIA Omniverse,,,,
76,Cisco,Program Manageer - Talos,,,
77,Dropbox,Technical Program Manager,,,
78,Service Now,Senior Technical Program Manager,,,
79,Intuitive,Senior Project Manager,,,
80,CACI,Senior Program Manager (285374),,,
81,Palo Alto Networks,Sr Event Technologist Program Manager,,,
82,Cupertino Electric,Project Manager - Data Center,,,
83,Symetra Sr. Technical Program Manager - 7446,,,,
84,Alameda Health System,"Enterprise Project Manager, PMP-ePMO, Remote, Full Time, Benefited, Days, 8hours, 1.0fte, Alameda Health System",,,
85,Genesis10,Data Scientist/ Product Analyst,,,
86,Genesis10,Project/Program Manager,,,
87,Google,"Technical Writer, Google Cloud Databases - Remote; California or Remote; United States",,,
88,CGS,"Sr Project Manager (software/ SAAS/ WFM) Hybrid/ Remote- Orange, CA",,,
89,Black and Veatch,Deputy Program Manager (99634),,,
90,IFG,,,,
91,HP,"AI/ML Readiness-Technical Product Management, DAO",,,
92,Drata,Technical Writer,,,
93,Covetus,Content Manager,,,
94,Form,Program Manager,,,
95,Tiktok,Process and Product Program Manager,,,
96,Discord,Senior Technical Program Manager - Data Governance,,,
97,Researched the UCSC Extension coursework,https://www.ucsc-extension.edu/courses/certificate/data-science-and-data-analytics/,,,
98,Started this one,https://www.coursera.org/specializations/jhu-data-science,,,
99,Emailed UI Online about California Training Benefits program for funding UCSC Extension Classes,,,,
100,U.S. Tech Solutions,Technical Program Manager,,,
